gene_symbol,mean_median_tpm,Z
DDX11L1,0.003081537037037037,0.0013362367552081722
WASH7P,3.7621324444444433,0.677801469836501
MIR6859-1,0.0,0.0
MIR1302-2HG,0.0050032592592592585,0.0021674701903546074
FAM138A,0.0,0.0
OR4G4P,0.020225998148148145,0.008696386347117033
OR4G11P,0.03886549814814815,0.016559323117050134
OR4F5,0.0482672185185185,0.020472004723269887
RP11-34P13.7,0.025972550925925923,0.011135741730114739
CICP27,0.060023909074074074,0.025315660983482494
RP11-34P13.15,8.11200302962963,0.9596138554686747
RP11-34P13.16,12.63455112962963,1.1346408448714294
RP11-34P13.14,0.2908631944444444,0.11088021821831819
RP11-34P13.13,0.13191060000000002,0.05381212697600991
RNU6-1100P,0.0,0.0
RP11-34P13.9,0.0,0.0
ABC7-43046700E7.1,0.13713389074074073,0.05581160328620126
RP11-34P13.18,7.311729999999998,0.9196914270642033
MIR6859-2,0.0,0.0
AP006222.2,0.4428544444444445,0.1592225215557239
RPL23AP24,0.06743744074074073,0.028342431765236632
RP5-857K21.15,0.0,0.0
RP4-669L17.2,0.005915048148148148,0.002561305095316428
RP4-669L17.10,0.27354943703703705,0.10501580820474768
WBP1LP7,0.03802479814814814,0.016207728820973172
OR4F29,0.03304768518518518,0.01412036889117603
CICP7,0.003336167222222222,0.0014464675259105286
RP4-669L17.8,0.02786292037037037,0.011935199390463646
U6,0.0,0.0
RP5-857K21.4,0.04681848166666667,0.019871381540440918
RP5-857K21.2,0.0,0.0
MTND1P23,10.287158888888886,1.052584638633919
MTND2P28,764.0434962962962,2.883686127525456
MTCO1P12,64.92363592592594,1.819041152254289
MTCO2P12,15.729121851851845,1.223473144494704
MTATP8P1,14.259064074074077,1.1835278966640561
MTATP6P1,3910.6936481481484,3.5923648348352577
MTCO3P12,20.82645370370371,1.3389831785848014
WBP1LP6,0.018112731481481483,0.0077958683246569325
OR4F16,0.021293025925925923,0.009150366263697765
RP11-206L10.17,0.0,0.0
CICP3,0.14546470185185187,0.05898171069943826
RP11-206L10.2,2.1306861481481487,0.4956395316988627
RNU6-1199P,0.0,0.0
RP11-206L10.4,0.018053725925925926,0.007770697703568088
RP11-206L10.9,0.8166639074074071,0.2592745879246971
RP11-206L10.8,1.0744891296296297,0.3169111634579602
FAM87B,0.6547176018518516,0.21872388667838172
LINC01128,6.853199129629631,0.8950466097791909
LINC00115,5.095717944444444,0.7850248635143988
FAM41C,0.10216955925925927,0.04224841210744183
TUBB8P11,0.10317462222222223,0.0426442626351419
FAM166AP3,0.022371129629629633,0.009608577101910864
RP11-54O7.16,0.4909747648148148,0.17347029295371783
RP11-54O7.1,0.35682796666666666,0.13252478659589084
RP11-54O7.2,0.0,0.0
RP11-54O7.3,4.008420005555556,0.6997007416174402
SAMD11,5.085766125925926,0.7843152585427757
NOC2L,52.856511111111104,1.7312382158733053
KLHL17,11.928307962962963,1.1115416888066292
PLEKHN1,5.9056518888888885,0.8392046819565123
PERM1,5.62866627037037,0.8214261543946515
RP11-54O7.17,3.7357861907407397,0.6753920868150406
HES4,23.84080740740741,1.3951657077236628
ISG15,39.93032166666665,1.6120451577288122
RP11-54O7.10,0.07223333333333332,0.03028930434210178
RP11-54O7.11,0.40774739259259246,0.14852473162043558
AGRN,25.886233203703696,1.4295299612624848
RP11-465B22.3,1.8968957055555553,0.4619328599545194
RP11-54O7.18,0.278424838888889,0.10667520008598684
RNF223,1.329206238888889,0.3672079447158215
C1orf159,9.081346666666665,1.0035185490577625
LINC01342,0.23191649444444434,0.09058127014082125
MIR200B,0.16732603703703705,0.06719217250652892
MIR200A,0.11368177777777778,0.046761113729885506
MIR429,0.3405245,0.12727475574342165
RP11-465B22.8,8.422221294444443,0.9741533000537203
TTLL10-AS1,0.3214151925925926,0.12103929567738382
TTLL10,1.9725922351851852,0.4731353390217631
TNFRSF18,3.486135722222223,0.6518724084624071
TNFRSF4,3.6003200370370365,0.662788045917315
SDF4,124.38555370370369,2.0982475021392117
B3GALT6,13.539155370370372,1.1625391775930292
C1QTNF12,2.2335618703703704,0.5096811750723365
RP5-902P8.12,0.6306212037037037,0.21235308535195266
UBE2J2,24.284854074074065,1.4028604515415404
LINC01786,5.457350277777778,0.8100543452690866
SCNN1D,11.458692777777776,1.0954724765783248
ACAP3,80.9461148148148,1.9135283678578847
MIR6726,0.0,0.0
PUSL1,15.226449814814819,1.2102235109234958
INTS11,57.37780185185186,1.7662477381068789
MIR6727,0.0,0.0
RP5-890O3.9,25.12228222222222,1.417011117213266
CPTP,27.74122222222222,1.4585052325901473
TAS1R3,0.9904834444444446,0.29895856975416685
DVL1,71.84838148148148,1.8624199072182954
MIR6808,0.0,0.0
MXRA8,90.38864857407404,1.960892255167104
AURKAIP1,85.13820555555556,1.9351958202308803
NDUFB4P8,0.28198841111111106,0.10788409927543173
CCNL2,158.35704629629632,2.2023712714491777
RP4-758J18.2,15.35856148148148,1.213745110574746
MRPL20,66.04404814814814,1.8263602292994954
RP4-758J18.13,5.675633370370371,0.8244924769590755
ANKRD65,10.987863879629632,1.0787418029538414
RP4-758J18.7,2.132773296296296,0.4959289682204033
TMEM88B,3.733663246296295,0.6751973588999308
LINC01770,2.8589302037037045,0.5864669235777548
VWA1,30.79358087037036,1.502339444701862
ATAD3C,2.312650107407408,0.520175566746132
ATAD3B,24.05038203703704,1.3988143535690085
ATAD3A,15.991672777777776,1.2302361359259848
TMEM240,9.868406833333331,1.036165886846035
SSU72,43.85850000000001,1.651844747342929
RP5-832C2.5,1.1566626851851853,0.33378222418534403
RP11-345P4.11,0.016006340740740737,0.00689641832203626
FNDC10,8.492896129629631,0.977398728890344
RP11-345P4.9,17.112261111111113,1.257972670456572
MIB2,35.94923333333333,1.5676054315655648
MMP23B,0.9154309537037034,0.2822665014164929
CDK11B,28.16484444444445,1.4648596643902563
RP11-345P4.10,0.011605777777777777,0.0050113011486826575
SLC35E2B,22.798120555555556,1.3765426602253699
RP11-345P4.6,2.5189610555555553,0.5464144605121132
MMP23A,0.5701543092592591,0.19594233544532477
CDK11A,19.430416851851852,1.3102772278469426
RP1-283E3.4,6.860985925925925,0.8954770187285602
SLC35E2,4.361322592592592,0.7292719396572864
NADK,35.169527037037035,1.5583428298413011
GNB1,193.34956481481484,2.2885835725014445
RP1-140A9.1,1.1647725370370372,0.335412269696579
CALML6,1.3775935925925926,0.37613762169629983
TMEM52,6.174247314814816,0.8557763438492927
CFAP74,1.1160946522222224,0.32553508964785866
RP11-547D24.1,5.198740505555553,0.7923034561024751
GABRD,27.694597059259266,1.4578001305930346
RP11-547D24.3,0.06746156851851852,0.028352248211545753
PRKCZ,12.198017327777777,1.1205086942150213
