POSTN	2.4029183
SLC7A11	2.358437
PI15	2.1093128
TDO2	1.9352787
VSIG1	1.8672489
SPP1	1.8628303
TTN	1.8317616
MMP8	1.7741192
HSPH1	1.763615
SNORD20	1.7529484
SMC4	1.7488213
DNTTIP2	1.6612266
CD163	1.6553699
CCDC186	1.6536417
TSHZ2	1.6416708
ZNF267	1.6152195
CFH	1.6044282
HSPD1	1.6004744
HSP90AA1	1.5840215
NEXN	1.5815487
ANLN	1.5718614
HSP90AA6P	1.5673585
HP	1.5582531
ZNF721	1.5468807
ANGPT2	1.5417483
GCC2	1.5367621
USP8	1.5272435
CCDC141	1.5268779
GALNT1	1.5251114
ZNF845	1.5080934
RAD50	1.5056742
EPRS	1.5047202
EEA1	1.5041472
DPP4	1.4981798
HSP90AA2P	1.4955052
MTHFD2	1.4925487
MAPK6	1.4916862
TPR	1.4887812
DSG2	1.4859099
TOP2A	1.4761508
NSRP1	1.4651725
SMC3	1.4518588
ANKRD28	1.451805
ZNF91	1.4511046
DDX21	1.4505298
ROCK2	1.4493701
ZNF117	1.4487897
SERPINB2	1.4411855
PGM3	1.4310719
BLZF1	1.4285509
TTC37	1.4278915
USO1	1.425987
RPAP3	1.4166027
SAMD9	1.4081825
EIF3A	1.4068594
IQGAP2	1.4055928
ROCK1	1.4048328
ATRX	1.4010889
DOCK10	1.3976561
EIF5B	1.3920832
USP16	1.3916267
GEN1	1.3894779
VCAN	1.3892752
GOLGB1	1.3822721
PLA2G2A	1.3813587
CCDC88A	1.3775173
BRCC3	1.3773105
LTV1	1.3733785
ANKRD36B	1.373372
WDR43	1.3718619
THOC2	1.3708298
TMF1	1.3665776
CEP170	1.3651738
SNORD78	1.3651379
ZC3H15	1.3632849
KIF11	1.3630538
SLC6A14	1.3628479
BIRC3	1.3620145
NAA15	1.3595188
SMC6	1.3583547
SELE	1.3583367
CXCL8	1.3569449
PYROXD1	1.3561618
IDH1	1.3542721
CEP170	1.3533596
PHF3	1.352168
TSHZ2	1.3514193
SNX2	1.3479985
MIS18BP1	1.342744
KIF23	1.3375313
ZNF654	1.3370595
MIR32	1.3358515
SLC4A1AP	1.3348507
SNORD114-2	1.3314771
CP	1.3269246
